run_label,seed,shuffled_label_control,dataset,true_fraction,predicted_fraction
encoder_seed_2027,2030,False,physionet_hyser,0.16182014001077,0.162762520193861
encoder_seed_2027,2031,False,emg2pose,0.1784134881149806,0.1583747927031509
encoder_seed_2027,2031,False,emg2qwerty,0.1264510779436152,0.1430348258706467
encoder_seed_2027,2031,False,harmonic,0.1782752902155887,0.1782752902155887
encoder_seed_2027,2031,False,ninapro_db10_meganepro,0.1706744057490326,0.1706744057490326
encoder_seed_2027,2031,False,physionet_grabmyo,0.175787728026534,0.175787728026534
encoder_seed_2027,2031,False,physionet_hyser,0.1703980099502487,0.173852957435047
encoder_seed_2027,2032,False,emg2pose,0.1805574625840999,0.209117122065083
encoder_seed_2027,2032,False,emg2qwerty,0.1543320060414664,0.1226143072909515
encoder_seed_2027,2032,False,harmonic,0.1552931484278456,0.1557050665934367
encoder_seed_2027,2032,False,ninapro_db10_meganepro,0.1705341205547164,0.1705341205547164
encoder_seed_2027,2032,False,physionet_grabmyo,0.168886447892352,0.168886447892352
encoder_seed_2027,2032,False,physionet_hyser,0.1703968144995194,0.1731429356034601
encoder_seed_2027,2033,False,emg2pose,0.1716359865180191,0.2004148301788955
encoder_seed_2027,2033,False,emg2qwerty,0.1457091003370495,0.1133004926108374
encoder_seed_2027,2033,False,harmonic,0.18796992481203,0.1882291936738397
encoder_seed_2027,2033,False,ninapro_db10_meganepro,0.1624319419237749,0.1625615763546798
encoder_seed_2027,2033,False,physionet_grabmyo,0.1664506092818252,0.1667098781436349
encoder_seed_2027,2033,False,physionet_hyser,0.165802437127301,0.1687840290381125
encoder_seed_2027,2034,False,emg2pose,0.1910158949550794,0.1813407049067035
encoder_seed_2027,2034,False,emg2qwerty,0.1143054595715273,0.1231513476157567
encoder_seed_2027,2034,False,harmonic,0.1752591568762957,0.1755355908776779
encoder_seed_2027,2034,False,ninapro_db10_meganepro,0.1729094678645473,0.1729094678645473
encoder_seed_2027,2034,False,physionet_grabmyo,0.1749827228749136,0.1749827228749136
encoder_seed_2027,2034,False,physionet_hyser,0.1715272978576364,0.1720801658604008
encoder_seed_2027,2035,False,emg2pose,0.1814564265817747,0.1643454038997214
encoder_seed_2027,2035,False,emg2qwerty,0.1156652075872131,0.1317150815758058
encoder_seed_2027,2035,False,harmonic,0.1944554980766679,0.1945881416633506
encoder_seed_2027,2035,False,ninapro_db10_meganepro,0.1650086218331343,0.1652739090064995
encoder_seed_2027,2035,False,physionet_grabmyo,0.1721713755139939,0.1723040191006764
encoder_seed_2027,2035,False,physionet_hyser,0.1712428704072158,0.1717734447539461
encoder_seed_2027,2026,True,emg2pose,0.1912832929782082,0.1492664862555191
encoder_seed_2027,2026,True,emg2qwerty,0.134453781512605,0.1489816265489246
encoder_seed_2027,2026,True,harmonic,0.1380145278450363,0.1159379005839624
encoder_seed_2027,2026,True,ninapro_db10_meganepro,0.1787494658880501,0.2448369178179746
encoder_seed_2027,2026,True,physionet_grabmyo,0.1787494658880501,0.2032474006551773
encoder_seed_2027,2026,True,physionet_hyser,0.1787494658880501,0.1377296681384418
encoder_seed_2027,2027,True,emg2pose,0.1808014911463187,0.1592331247503661
encoder_seed_2027,2027,True,emg2qwerty,0.1200905338836373,0.1109040074557315
encoder_seed_2027,2027,True,harmonic,0.1978431633604047,0.2982292637465051
encoder_seed_2027,2027,True,ninapro_db10_meganepro,0.1666888563440287,0.1223538809745706
encoder_seed_2027,2027,True,physionet_grabmyo,0.1676208227932366,0.1471175609106643
encoder_seed_2027,2027,True,physionet_hyser,0.1669551324723738,0.1621621621621621
encoder_seed_2027,2028,True,emg2pose,0.1799202127659574,0.1446808510638297
encoder_seed_2027,2028,True,emg2qwerty,0.119813829787234,0.1227393617021276
encoder_seed_2027,2028,True,harmonic,0.1976063829787234,0.2041223404255319
encoder_seed_2027,2028,True,ninapro_db10_meganepro,0.1682180851063829,0.1493351063829787
encoder_seed_2027,2028,True,physionet_grabmyo,0.1716755319148936,0.1074468085106383
encoder_seed_2027,2028,True,physionet_hyser,0.1627659574468085,0.2716755319148936
encoder_seed_2027,2029,True,emg2pose,0.1868935452116439,0.2067219800309379
encoder_seed_2027,2029,True,emg2qwerty,0.1268457319645619,0.2622697229644213
encoder_seed_2027,2029,True,harmonic,0.1511742370974546,0.1584868513570524
encoder_seed_2027,2029,True,ninapro_db10_meganepro,0.1788777949655463,0.1043453803965687
encoder_seed_2027,2029,True,physionet_grabmyo,0.180002812543946,0.1345802278160596
encoder_seed_2027,2029,True,physionet_hyser,0.1762058782168471,0.1335958374349599
encoder_seed_2027,2030,True,emg2pose,0.170974690360797,0.1633010231556273
encoder_seed_2027,2030,True,emg2qwerty,0.1557619816908993,0.1386645126548196
