seed,n_classes,n_train,n_test,uniform_reference,majority_reference,accuracy,balanced_accuracy,macro_f1,permutation_corrected_accuracy,mean_prediction_entropy,normalized_prediction_entropy,ece,shuffled_label_control,source,feature_set,mutual_information,normalized_mutual_information
2035,2,41881,18119,0.5,0.5023456040620343,0.4900932722556432,0.4899828851808445,0.4897528610604703,0.5099067277443567,0.6890709965161953,0.9941193094943312,0.0458043146705345,True,two_domain_confirmatory_features,pretrained_embedding,0.00020113922063837077,0.00029041600688653663
2026,2,41792,18208,0.5,0.5007688927943761,0.9722100175746924,0.9721976211659332,0.9722074795143596,0.9722100175746924,0.0946358069349894,0.1365306093556346,0.0075694294945922,False,two_domain_confirmatory_features,raw_statistics,0.5672380114190764,0.8184433444369495
2026,2,41792,18208,0.5,0.5007688927943761,0.4874231107205624,0.4874025579789828,0.487320972730125,0.5125768892794376,0.6915763304382515,0.9977337423194526,0.034695877652913,True,two_domain_confirmatory_features,raw_statistics,0.00031765079324900993,0.0004583914165788424
2027,2,41903,18097,0.5,0.5002486599988949,0.9683372934740564,0.9683353345058804,0.9683366747124992,0.9683372934740564,0.0994817020241973,0.143521758169503,0.0059670255398626,False,two_domain_confirmatory_features,raw_statistics,0.5528908028337752,0.7976729207514638
2027,2,41903,18097,0.5,0.5002486599988949,0.4538873846493894,0.4538894205644259,0.4538792137170537,0.5461126153506106,0.691446078954606,0.9975458291499288,0.0689963619835818,True,two_domain_confirmatory_features,raw_statistics,0.004258706768611918,0.006144165908604395
2028,2,42174,17826,0.5,0.5025805003926849,0.9689778974531584,0.9690109459842328,0.9689778364370792,0.9689778974531584,0.0993842166767622,0.1433811165421991,0.0074182382016398,False,two_domain_confirmatory_features,raw_statistics,0.5555254076044279,0.8014797938260534
2028,2,42174,17826,0.5,0.5025805003926849,0.5495343879726242,0.5495148613372249,0.5495146484391719,0.5495343879726242,0.6919068646538913,0.9982106023932,0.0302451293454098,True,two_domain_confirmatory_features,raw_statistics,0.004911654845129745,0.0070862549482891635
2029,2,41824,18176,0.5,0.5001100352112676,0.9538402288732394,0.953839996590458,0.9538401549598045,0.9538402288732394,0.1132952832356856,0.1634505432802341,0.0079080216958722,False,two_domain_confirmatory_features,raw_statistics,0.5061083920192014,0.7301614862361553
2029,2,41824,18176,0.5,0.5001100352112676,0.5671214788732394,0.5671078003684146,0.5654358961343888,0.5671214788732394,0.6912245499837942,0.9972262304023254,0.044296055553617,True,two_domain_confirmatory_features,raw_statistics,0.009178199792835823,0.0133157869609021
2030,2,41977,18023,0.5,0.5039671530821728,0.9735893025578428,0.9736677671319014,0.9735891788899524,0.9735893025578428,0.1007351785311117,0.1453301425098992,0.0097759733710842,False,two_domain_confirmatory_features,raw_statistics,0.5729885612990091,0.8267113612543289
